disease,num_targets,avg_score,top_protein
Severe achondroplasia - developmental delay - acanthosis nigricans,1,0.823,P22607
hemangioblastoma,1,0.37,P42684
"thyroid hormone metabolism, abnormal, 2",1,0.052,Q02779
achondroplasia,1,0.827,P22607
sitosterolemia 2,1,0.049,Q02779
LADD syndrome 1,1,0.78,P21802
bent bone dysplasia syndrome 1,1,0.792,P21802
Lacrimoauriculodentodigital syndrome,1,0.797,P21802
Primary microcephaly,1,0.371,O00444
homozygous familial hypercholesterolemia,1,0.047,Q02779
Beare-Stevenson cutis gyrata syndrome,1,0.824,P21802
Apert syndrome,1,0.836,P21802
Crouzon syndrome,1,0.864,P21802
infantile myofibromatosis,1,0.728,P09619
acroosteolysis-keloid-like lesions-premature aging syndrome,1,0.744,P09619
skeletal overgrowth-craniofacial dysmorphism-hyperelastic skin-white matter lesions syndrome,1,0.748,P09619
retinoblastoma,1,0.074,Q9P289
myoepithelial tumor,1,0.111,Q9Y463
Ventriculomegaly,1,0.34,P49336
vein of Galen aneurysm,1,0.51,P54760
Common atrium,1,0.34,P49336
fibrodysplasia ossificans progressiva,1,0.816,Q04771
tibia fracture,1,0.503,Q04771
Takayasu arteritis,1,0.389,Q14289
Hereditary late-onset Parkinson disease,1,0.835,Q5S007
Endometrial Endometrioid Adenocarcinoma,1,0.37,Q13882
Knobloch syndrome 2,1,0.353,Q13177
Young adult-onset Parkinsonism,1,0.551,Q5S007
Knobloch syndrome 1,1,0.375,Q13177
Knobloch syndrome,1,0.454,Q13177
Febrile seizure (within the age range of 3 months to 6 years),1,0.219,P80192
dysthymic disorder,1,0.318,P80192
mood disorder,1,0.325,P80192
capillary malformation-arteriovenous malformation syndrome,1,0.465,P54760
late-onset Parkinson disease,1,0.454,Q5S007
breast ductal adenocarcinoma,1,0.37,P42684
EPHB4-associated vascular malformation spectrum,1,0.512,P54760
leprosy,1,0.378,Q5S007
lymphatic malformation 7,1,0.751,P54760
"Parkinson disease, dominant",1,0.372,Q5S007
Capillary malformation - arteriovenous malformation,1,0.832,P54760
Hearing impairment,1,0.416,P50750
coloboma of iris,1,0.416,P50750
Developmental cataract,1,0.416,P50750
Abnormality of the ear,1,0.416,P50750
Abnormality of vision,1,0.416,P50750
"intellectual disability, autosomal dominant 53",1,0.796,Q9UQM7
"intellectual disability, autosomal recessive 63",1,0.436,Q9UQM7
choanal atresia,1,0.416,P50750
kidney neoplasm,1,0.37,P42684
nephrolithiasis,1,0.276,P22612
CAMK2D-related neurodevelopmental disorder and dilated cardiomyopathy,1,0.416,Q13557
Megalencephaly - polymicrogyria - postaxial polydactyly - hydrocephalus,1,0.673,Q9Y243
glycogen storage disease IXc,1,0.748,P15735
hypogonadotropic hypogonadism 2 with or without anosmia,1,0.847,P11362
Hartsfield-Bixler-Demyer syndrome,1,0.826,P11362
osteoglophonic dysplasia,1,0.794,P11362
encephalocraniocutaneous lipomatosis,1,0.774,P11362
trigonocephaly 1,1,0.738,P11362
hypogonadotropic hypogonadism,1,0.66,P11362
disorder of glycogen metabolism,1,0.504,P15735
Central Nervous System Lymphoma,1,0.382,P11309
Glycogen storage disease due to glycogenin deficiency,1,0.503,P15735
glycogen storage disease due to liver phosphorylase kinase deficiency,1,0.37,P15735
lumbar disc herniation,1,0.339,P16591
cardioacrofacial dysplasia 1,1,0.686,P17612
"pigmented nodular adrenocortical disease, primary, 4",1,0.557,P17612
Fibrolamellar Carcinoma,1,0.378,P17612
diffuse large B-cell lymphoma of the central nervous system,1,0.372,P11309
maculopapular cutaneous mastocytosis,1,0.663,P10721
hepatocellular adenoma,1,0.37,P17612
pheochromocytoma,1,0.778,P07949
lagophthalmos,1,0.258,P06493
myocardial infarction,1,0.547,P07332
"autoinflammatory disease, systemic, with vasculitis",1,0.712,P07948
multiple endocrine neoplasia type 2A,1,0.859,P07949
multiple endocrine neoplasia type 2B,1,0.819,P07949
Hirschsprung disease,1,0.793,P07949
multiple endocrine neoplasia,1,0.67,P07949
cutaneous mastocytosis,1,0.81,P10721
growth delay due to insulin-like growth factor I resistance,1,0.817,P08069
Graves ophthalmopathy,1,0.577,P08069
Growth delay,1,0.47,P08069
spitz nevus,1,0.372,P08922
melanocytic neoplasm,1,0.371,P08922
piebaldism,1,0.821,P10721
Cortisol-Producing Adrenal Cortex Adenoma,1,0.37,P17612
"ACTH-independent adrenal Cushing syndrome, somatic",1,0.333,P17612
ebv-positive nodal t- and nk-cell lymphoma,1,0.499,P06241
mucocutaneous lymph node syndrome,1,0.545,P51451
Skin rash,1,0.476,P43405
arthritis,1,0.469,P43405
Familial advanced sleep-phase syndrome,1,0.639,P48730
glioblastoma,1,0.084,P49137
Decreased total leukocyte count,1,0.073,P49760
Macrocephaly,1,0.333,P49840
systemic scleroderma,1,0.484,P51451
autoimmune thrombocytopenic purpura,1,0.547,P43405
connective tissue disease,1,0.393,P51451
Rett syndrome,1,0.335,P51617
Coffin-Lowry syndrome,1,0.834,P51812
"intellectual disability, X-linked 19",1,0.772,P51812
X-linked non-syndromic intellectual disability,1,0.706,P51812
Motor delay,1,0.37,P51812
colitis,1,0.489,P43405
Decreased circulating immunoglobulin concentration,1,0.564,P43405
Iron deficiency anemia,1,0.188,P23443
hypoinsulinemic hypoglycemia and body hemihypertrophy,1,0.787,P31751
visual impairment and progressive phthisis bulbi,1,0.401,P27448
Total congenital cataract,1,0.769,P29317
Posterior polar cataract,1,0.769,P29317
early-onset non-syndromic cataract,1,0.68,P29317
immunodeficiency 35,1,0.756,P29597
Autosomal recessive hyper-IgE syndrome due to TYK2 deficiency,1,0.603,P29597
AKT2-related familial partial lipodystrophy,1,0.383,P31751
Immunodeficiency,1,0.569,P43405
Familial partial lipodystrophy due to AKT2 mutations,1,0.382,P31751
lymphatic malformation 1,1,0.79,P35916
"congenital heart defects, multiple types, 7",1,0.765,P35916
