disease,num_targets,avg_score
infantile myofibromatosis,1,0.728
acroosteolysis-keloid-like lesions-premature aging syndrome,1,0.744
skeletal overgrowth-craniofacial dysmorphism-hyperelastic skin-white matter lesions syndrome,1,0.748
retinoblastoma,1,0.074
myoepithelial tumor,1,0.111
Ventriculomegaly,1,0.34
vein of Galen aneurysm,1,0.51
Common atrium,1,0.34
fibrodysplasia ossificans progressiva,1,0.816
tibia fracture,1,0.503
Takayasu arteritis,1,0.389
Hereditary late-onset Parkinson disease,1,0.835
Endometrial Endometrioid Adenocarcinoma,1,0.37
Knobloch syndrome 2,1,0.353
Young adult-onset Parkinsonism,1,0.551
Knobloch syndrome 1,1,0.375
Knobloch syndrome,1,0.454
Febrile seizure (within the age range of 3 months to 6 years),1,0.219
dysthymic disorder,1,0.318
mood disorder,1,0.325
capillary malformation-arteriovenous malformation syndrome,1,0.465
late-onset Parkinson disease,1,0.454
breast ductal adenocarcinoma,1,0.37
EPHB4-associated vascular malformation spectrum,1,0.512
leprosy,1,0.378
lymphatic malformation 7,1,0.751
"Parkinson disease, dominant",1,0.372
Capillary malformation - arteriovenous malformation,1,0.832
Hearing impairment,1,0.416
coloboma of iris,1,0.416
Developmental cataract,1,0.416
Abnormality of the ear,1,0.416
Abnormality of vision,1,0.416
"intellectual disability, autosomal dominant 53",1,0.796
"intellectual disability, autosomal recessive 63",1,0.436
choanal atresia,1,0.416
kidney neoplasm,1,0.37
nephrolithiasis,1,0.276
CAMK2D-related neurodevelopmental disorder and dilated cardiomyopathy,1,0.416
Megalencephaly - polymicrogyria - postaxial polydactyly - hydrocephalus,1,0.673
glycogen storage disease IXc,1,0.748
hypogonadotropic hypogonadism 2 with or without anosmia,1,0.847
Hartsfield-Bixler-Demyer syndrome,1,0.826
osteoglophonic dysplasia,1,0.794
encephalocraniocutaneous lipomatosis,1,0.774
trigonocephaly 1,1,0.738
hypogonadotropic hypogonadism,1,0.66
disorder of glycogen metabolism,1,0.504
Central Nervous System Lymphoma,1,0.382
Glycogen storage disease due to glycogenin deficiency,1,0.503
glycogen storage disease due to liver phosphorylase kinase deficiency,1,0.37
lumbar disc herniation,1,0.339
cardioacrofacial dysplasia 1,1,0.686
"pigmented nodular adrenocortical disease, primary, 4",1,0.557
Fibrolamellar Carcinoma,1,0.378
diffuse large B-cell lymphoma of the central nervous system,1,0.372
maculopapular cutaneous mastocytosis,1,0.663
hepatocellular adenoma,1,0.37
pheochromocytoma,1,0.778
lagophthalmos,1,0.258
myocardial infarction,1,0.547
"autoinflammatory disease, systemic, with vasculitis",1,0.712
multiple endocrine neoplasia type 2A,1,0.859
multiple endocrine neoplasia type 2B,1,0.819
Hirschsprung disease,1,0.793
multiple endocrine neoplasia,1,0.67
cutaneous mastocytosis,1,0.81
growth delay due to insulin-like growth factor I resistance,1,0.817
Graves ophthalmopathy,1,0.577
Growth delay,1,0.47
spitz nevus,1,0.372
melanocytic neoplasm,1,0.371
piebaldism,1,0.821
Cortisol-Producing Adrenal Cortex Adenoma,1,0.37
"ACTH-independent adrenal Cushing syndrome, somatic",1,0.333
ebv-positive nodal t- and nk-cell lymphoma,1,0.499
mucocutaneous lymph node syndrome,1,0.545
Skin rash,1,0.476
arthritis,1,0.469
Familial advanced sleep-phase syndrome,1,0.639
glioblastoma,1,0.084
Decreased total leukocyte count,1,0.073
