SMILES,MolecularWeight,LogP,TPSA,HBD,HBA,RotatableBonds,Suitability
CN(Cc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1ccc2c3c(cccc13)C(N)=N2,436.54,2.85,88.23,1.0,6.0,5.0,0
Clc1cccc(N2CCNCC2)c1,196.68,1.75,15.27,1.0,2.0,1.0,0
C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O,287.22,-0.05,136.38,3.0,7.0,5.0,0
Nc1ncnc2c1ncn2CCOCP(=O)(O)O,273.19,-0.44,136.38,3.0,7.0,5.0,0
CC/C(=C(/c1ccc(OCCN(C)C)cc1)c1cccc(O)c1)c1ccccc1,387.52,5.7,32.7,1.0,3.0,8.0,0
CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,387.52,5.7,32.7,1.0,3.0,8.0,0
CCSc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,331.47,3.69,64.63,1.0,4.0,5.0,0
[O-][S+](Cc1ccccn1)c1nc2ccccc2[nH]1,257.32,2.27,64.63,1.0,3.0,3.0,0
C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@]4(C)CC[C@@H]1C32OO4,282.34,2.39,53.99,0.0,5.0,0.0,0
CC(C)Oc1ccccc1N1CCN(Cc2cccc(C(=O)N3CCCCC3)c2)CC1,421.59,4.42,36.02,0.0,4.0,6.0,0
CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,382.46,5.49,62.22,2.0,3.0,5.0,0
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,351.41,1.56,68.78,1.0,5.0,2.0,0
c1ccc2c(c1)OCC(C1=NCCN1)O2,204.23,0.83,42.85,1.0,4.0,1.0,0
CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,292.21,2.32,92.47,2.0,4.0,3.0,0
O=C(O)CNC(=O)C(CS)Cc1ccccc1,253.32,0.98,66.4,3.0,3.0,6.0,0
CC[C@H](NC(=O)c1cc(-c2ccccc2)nc2ccccc12)c1ccccc1,366.46,5.78,41.99,1.0,2.0,5.0,0
